,KEY,OI,CLOSE,EXPIRY_DT,SCRIP_CODE
0,NIFTYCPSE_17-May-2018_2225.0_CE,0.0,205.85,17-May-2018,
1,NIFTYCPSE_17-May-2018_2675.0_PE,0.0,157.9,17-May-2018,
2,NIFTYCPSE_17-May-2018_2250.0_CE,0.0,208.3,17-May-2018,
3,NIFTYCPSE_17-May-2018_2250.0_PE,0.0,21.25,17-May-2018,
4,NIFTYCPSE_17-May-2018_2275.0_CE,0.0,188.95,17-May-2018,
5,NIFTYCPSE_17-May-2018_2275.0_PE,0.0,26.55,17-May-2018,
6,NIFTYCPSE_17-May-2018_2300.0_CE,0.0,196.15,17-May-2018,
7,NIFTYCPSE_17-May-2018_2300.0_PE,0.0,25.45,17-May-2018,
8,NIFTYCPSE_17-May-2018_2325.0_CE,0.0,177.5,17-May-2018,
9,NIFTYCPSE_17-May-2018_2325.0_PE,0.0,31.55,17-May-2018,
10,NIFTYCPSE_17-May-2018_2350.0_CE,0.0,159.65,17-May-2018,
11,NIFTYCPSE_17-May-2018_2350.0_PE,0.0,38.35,17-May-2018,
12,NIFTYCPSE_17-May-2018_2375.0_CE,0.0,187.1,17-May-2018,
13,NIFTYCPSE_17-May-2018_2375.0_PE,0.0,18.1,17-May-2018,
14,NIFTYCPSE_17-May-2018_2400.0_CE,0.0,167.6,17-May-2018,
15,NIFTYCPSE_17-May-2018_2400.0_PE,0.0,23.3,17-May-2018,
16,NIFTYCPSE_17-May-2018_2425.0_CE,0.0,149.2,17-May-2018,
17,NIFTYCPSE_17-May-2018_2425.0_PE,0.0,29.55,17-May-2018,
18,NIFTYCPSE_17-May-2018_2450.0_CE,0.0,131.7,17-May-2018,
19,NIFTYCPSE_17-May-2018_2450.0_PE,0.0,36.75,17-May-2018,
20,NIFTYCPSE_17-May-2018_2475.0_CE,0.0,115.5,17-May-2018,
21,NIFTYCPSE_17-May-2018_2475.0_PE,0.0,45.25,17-May-2018,
22,NIFTYCPSE_17-May-2018_2500.0_CE,0.0,100.55,17-May-2018,
23,NIFTYCPSE_17-May-2018_2500.0_PE,0.0,55.0,17-May-2018,
24,NIFTYCPSE_17-May-2018_2525.0_CE,0.0,86.9,17-May-2018,
25,NIFTYCPSE_17-May-2018_2525.0_PE,0.0,66.0,17-May-2018,
26,NIFTYCPSE_17-May-2018_2550.0_CE,0.0,74.45,17-May-2018,
27,NIFTYCPSE_17-May-2018_2550.0_PE,0.0,78.25,17-May-2018,
28,NIFTYCPSE_17-May-2018_2575.0_CE,0.0,63.3,17-May-2018,
29,NIFTYCPSE_17-May-2018_2575.0_PE,0.0,91.8,17-May-2018,
30,NIFTYCPSE_17-May-2018_2600.0_CE,0.0,53.4,17-May-2018,
31,NIFTYCPSE_17-May-2018_2600.0_PE,0.0,106.6,17-May-2018,
32,NIFTYCPSE_17-May-2018_2625.0_CE,0.0,44.7,17-May-2018,
33,NIFTYCPSE_17-May-2018_2625.0_PE,0.0,122.55,17-May-2018,
34,NIFTYCPSE_17-May-2018_2650.0_CE,0.0,37.05,17-May-2018,
35,NIFTYCPSE_17-May-2018_2650.0_PE,0.0,139.65,17-May-2018,
36,NIFTYCPSE_17-May-2018_2675.0_CE,0.0,30.65,17-May-2018,
37,NIFTYCPSE_17-May-2018_2225.0_PE,0.0,20.15,17-May-2018,
38,BANKNIFTY_17-May-2018_22400.0_PE,40.0,0.4,17-May-2018,
39,BANKNIFTY_17-May-2018_22500.0_CE,0.0,1988.4,17-May-2018,
40,BANKNIFTY_17-May-2018_22500.0_PE,1080.0,0.2,17-May-2018,
41,BANKNIFTY_17-May-2018_22600.0_CE,0.0,2045.1,17-May-2018,
42,BANKNIFTY_17-May-2018_22600.0_PE,0.0,137.05,17-May-2018,
43,BANKNIFTY_17-May-2018_22700.0_CE,0.0,1962.3,17-May-2018,
44,BANKNIFTY_17-May-2018_22700.0_PE,0.0,153.1,17-May-2018,
45,BANKNIFTY_17-May-2018_22800.0_CE,0.0,1880.95,17-May-2018,
46,BANKNIFTY_17-May-2018_22800.0_PE,3880.0,1.55,17-May-2018,
47,BANKNIFTY_17-May-2018_22900.0_CE,0.0,2014.5,17-May-2018,
48,BANKNIFTY_17-May-2018_22900.0_PE,0.0,152.9,17-May-2018,
49,BANKNIFTY_17-May-2018_23000.0_CE,0.0,1932.85,17-May-2018,
50,BANKNIFTY_17-May-2018_23000.0_PE,154800.0,0.6,17-May-2018,
51,BANKNIFTY_17-May-2018_23100.0_CE,0.0,1852.7,17-May-2018,
52,BANKNIFTY_17-May-2018_23100.0_PE,160.0,0.65,17-May-2018,
53,BANKNIFTY_17-May-2018_23200.0_CE,0.0,2041.65,17-May-2018,
54,BANKNIFTY_17-May-2018_23200.0_PE,2320.0,2.5,17-May-2018,
55,BANKNIFTY_17-May-2018_23300.0_CE,0.0,1960.4,17-May-2018,
56,BANKNIFTY_17-May-2018_23300.0_PE,0.0,177.2,17-May-2018,
57,BANKNIFTY_17-May-2018_23400.0_CE,0.0,1880.5,17-May-2018,
58,BANKNIFTY_17-May-2018_23400.0_PE,0.0,196.1,17-May-2018,
59,BANKNIFTY_17-May-2018_23500.0_CE,0.0,1802.15,17-May-2018,
60,BANKNIFTY_17-May-2018_23500.0_PE,381680.0,0.55,17-May-2018,
61,BANKNIFTY_17-May-2018_23600.0_CE,0.0,1725.3,17-May-2018,
62,BANKNIFTY_17-May-2018_23600.0_PE,0.0,238.35,17-May-2018,
63,BANKNIFTY_17-May-2018_23700.0_CE,0.0,1650.0,17-May-2018,
64,BANKNIFTY_17-May-2018_23700.0_PE,0.0,261.85,17-May-2018,
65,BANKNIFTY_17-May-2018_23800.0_CE,0.0,1577.25,17-May-2018,
66,BANKNIFTY_17-May-2018_23800.0_PE,0.0,287.85,17-May-2018,
67,BANKNIFTY_17-May-2018_23900.0_CE,0.0,1504.2,17-May-2018,
68,BANKNIFTY_17-May-2018_23900.0_PE,0.0,313.5,17-May-2018,
69,BANKNIFTY_17-May-2018_24000.0_CE,0.0,1434.05,17-May-2018,
70,BANKNIFTY_17-May-2018_24400.0_CE,0.0,1171.9,17-May-2018,
71,BANKNIFTY_17-May-2018_24400.0_PE,0.0,474.95,17-May-2018,
72,BANKNIFTY_17-May-2018_24500.0_CE,2720.0,1700.55,17-May-2018,
73,BANKNIFTY_17-May-2018_24500.0_PE,104840.0,0.65,17-May-2018,
74,BANKNIFTY_17-May-2018_24600.0_CE,600.0,1490.0,17-May-2018,
75,BANKNIFTY_17-May-2018_24600.0_PE,20240.0,0.45,17-May-2018,
76,BANKNIFTY_17-May-2018_24700.0_CE,0.0,995.45,17-May-2018,
77,BANKNIFTY_17-May-2018_24700.0_PE,8200.0,0.85,17-May-2018,
78,BANKNIFTY_17-May-2018_24800.0_CE,0.0,940.6,17-May-2018,
79,BANKNIFTY_17-May-2018_24800.0_PE,10040.0,0.75,17-May-2018,
80,BANKNIFTY_17-May-2018_24900.0_CE,0.0,887.7,17-May-2018,
81,BANKNIFTY_17-May-2018_24900.0_PE,12960.0,0.75,17-May-2018,
82,BANKNIFTY_17-May-2018_25000.0_CE,6120.0,1115.0,17-May-2018,
83,BANKNIFTY_17-May-2018_25000.0_PE,313840.0,1.0,17-May-2018,
84,BANKNIFTY_17-May-2018_25100.0_CE,360.0,1020.45,17-May-2018,
85,BANKNIFTY_17-May-2018_25100.0_PE,26600.0,1.25,17-May-2018,
86,BANKNIFTY_17-May-2018_25200.0_CE,1480.0,992.7,17-May-2018,
87,BANKNIFTY_17-May-2018_25200.0_PE,40360.0,1.35,17-May-2018,
88,BANKNIFTY_17-May-2018_25300.0_CE,840.0,900.0,17-May-2018,
89,BANKNIFTY_17-May-2018_25300.0_PE,51480.0,1.65,17-May-2018,
90,BANKNIFTY_17-May-2018_25400.0_CE,1680.0,719.8,17-May-2018,
91,BANKNIFTY_17-May-2018_25400.0_PE,91760.0,1.95,17-May-2018,
92,BANKNIFTY_17-May-2018_25500.0_CE,24160.0,686.85,17-May-2018,
93,BANKNIFTY_17-May-2018_25500.0_PE,338760.0,2.5,17-May-2018,
94,BANKNIFTY_17-May-2018_25600.0_CE,3400.0,600.6,17-May-2018,
95,BANKNIFTY_17-May-2018_25600.0_PE,180360.0,3.45,17-May-2018,
96,BANKNIFTY_17-May-2018_25700.0_CE,14520.0,498.85,17-May-2018,
97,BANKNIFTY_17-May-2018_25700.0_PE,340880.0,5.35,17-May-2018,
98,BANKNIFTY_17-May-2018_25800.0_CE,13120.0,404.35,17-May-2018,
99,BANKNIFTY_17-May-2018_25800.0_PE,572720.0,8.55,17-May-2018,
100,BANKNIFTY_17-May-2018_25900.0_CE,14320.0,303.9,17-May-2018,
101,BANKNIFTY_17-May-2018_25900.0_PE,397080.0,14.9,17-May-2018,
102,BANKNIFTY_17-May-2018_26000.0_CE,71520.0,218.15,17-May-2018,
103,BANKNIFTY_17-May-2018_26000.0_PE,843320.0,26.65,17-May-2018,
104,BANKNIFTY_17-May-2018_26100.0_CE,83400.0,139.1,17-May-2018,
105,BANKNIFTY_17-May-2018_26100.0_PE,384320.0,47.35,17-May-2018,
106,BANKNIFTY_17-May-2018_26200.0_CE,542800.0,79.75,17-May-2018,
107,BANKNIFTY_17-May-2018_26200.0_PE,467800.0,79.95,17-May-2018,
108,BANKNIFTY_17-May-2018_26300.0_CE,507560.0,41.9,17-May-2018,
109,BANKNIFTY_17-May-2018_26300.0_PE,191720.0,134.4,17-May-2018,
110,BANKNIFTY_17-May-2018_26400.0_CE,637720.0,20.95,17-May-2018,
111,BANKNIFTY_17-May-2018_26400.0_PE,110800.0,209.55,17-May-2018,
112,BANKNIFTY_17-May-2018_26500.0_CE,1194360.0,10.75,17-May-2018,
113,BANKNIFTY_17-May-2018_26500.0_PE,81160.0,292.35,17-May-2018,
114,BANKNIFTY_17-May-2018_26600.0_CE,568160.0,6.1,17-May-2018,
115,BANKNIFTY_17-May-2018_26600.0_PE,24520.0,388.2,17-May-2018,
116,BANKNIFTY_17-May-2018_26700.0_CE,660160.0,3.75,17-May-2018,
117,BANKNIFTY_17-May-2018_26700.0_PE,47920.0,482.05,17-May-2018,
118,BANKNIFTY_17-May-2018_26800.0_CE,567440.0,2.45,17-May-2018,
119,BANKNIFTY_17-May-2018_26800.0_PE,43680.0,582.55,17-May-2018,
120,BANKNIFTY_17-May-2018_26900.0_CE,449080.0,1.7,17-May-2018,
121,BANKNIFTY_17-May-2018_26900.0_PE,29000.0,675.55,17-May-2018,
122,BANKNIFTY_17-May-2018_27000.0_CE,1091240.0,1.2,17-May-2018,
123,BANKNIFTY_17-May-2018_27000.0_PE,28400.0,787.55,17-May-2018,
124,BANKNIFTY_17-May-2018_27100.0_CE,386000.0,0.7,17-May-2018,
