SCRIP_CODE,CLOSE,EXPIRY_DT
41838,100.0,31-12-2020 
45323,65.45,27-06-2019 
68129,75.45,31-05-2018 
52138,nan,31-05-2018 
94077,145.0,31-05-2018 
53655,nan,31-05-2018 
96847,nan,31-05-2018 
64457,2.4,28-06-2018 
39395,nan,24-06-2021 
56610,nan,31-05-2018 
71133,nan,28-06-2018 
50434,712.05,31-05-2018 
51911,30.0,31-05-2018 
93430,66.9,31-05-2018 
94686,nan,31-05-2018 
87688,0.15,31-05-2018 
60587,nan,28-06-2018 
88522,0.15,31-05-2018 
92231,nan,28-06-2018 
99720,1.6,31-05-2018 
101962,nan,31-05-2018 
72255,240.0,31-05-2018 
104236,18.35,28-06-2018 
49203,1160.2,28-06-2018 
50406,44.2,31-05-2018 
56158,nan,31-05-2018 
64674,0.75,31-05-2018 
93824,0.3,31-05-2018 
86768,nan,31-05-2018 
87691,43.15,31-05-2018 
61976,3.25,31-05-2018 
88397,nan,31-05-2018 
83629,nan,28-06-2018 
47444,26.8,31-05-2018 
99227,nan,31-05-2018 
35232,nan,28-06-2018 
50345,3231.0,31-05-2018 
64881,1.1,31-05-2018 
52958,68.4,31-05-2018 
59354,0.5,31-05-2018 
97644,nan,28-06-2018 
54426,342.0,31-05-2018 
97781,0.2,31-05-2018 
87984,nan,31-05-2018 
92194,nan,28-06-2018 
41415,nan,26-12-2019 
101294,85.0,31-05-2018 
94129,nan,28-06-2018 
63862,nan,31-05-2018 
64418,nan,28-06-2018 
57363,nan,28-06-2018 
51551,84.85,31-05-2018 
64780,0.8,31-05-2018 
94469,103.5,31-05-2018 
66077,32.7,31-05-2018 
87454,3.5,31-05-2018 
69505,0.45,31-05-2018 
69520,15.4,31-05-2018 
98448,9.5,28-06-2018 
64071,1.75,31-05-2018 
98923,nan,28-06-2018 
91334,nan,28-06-2018 
89633,nan,28-06-2018 
70541,8.1,28-06-2018 
71478,nan,28-06-2018 
73243,nan,28-06-2018 
79139,nan,28-06-2018 
50255,737.65,31-05-2018 
41805,nan,31-12-2020 
50530,346.1,31-05-2018 
46253,656.0,26-07-2018 
74899,212.0,31-05-2018 
53247,nan,31-05-2018 
69971,1.1,31-05-2018 
62111,nan,31-05-2018 
88448,0.45,31-05-2018 
91904,nan,28-06-2018 
89597,7.6,28-06-2018 
72858,nan,28-06-2018 
97691,nan,26-07-2018 
92171,nan,28-06-2018 
52478,nan,31-05-2018 
55240,11.25,31-05-2018 
56254,2.3,31-05-2018 
52223,0.7,31-05-2018 
59145,21.5,31-05-2018 
62108,nan,31-05-2018 
88301,3.9,31-05-2018 
82865,2.0,28-06-2018 
88528,0.05,31-05-2018 
65026,nan,28-06-2018 
99089,62.65,31-05-2018 
63188,1.7,31-05-2018 
95258,9.8,28-06-2018 
96324,nan,28-06-2018 
89632,nan,28-06-2018 
96717,nan,28-06-2018 
92764,3.4,31-05-2018 
78467,23.3,31-05-2018 
53358,11.5,31-05-2018 
87175,72.5,31-05-2018 
54028,106.35,31-05-2018 
89025,7.0,28-06-2018 
62920,nan,31-05-2018 
100241,16.05,31-05-2018 
50398,26.2,31-05-2018 
51196,95.0,31-05-2018 
88688,32.0,31-05-2018 
50536,526.1,31-05-2018 
56175,38.0,31-05-2018 
52454,0.35,31-05-2018 
96846,0.4,31-05-2018 
69515,0.65,31-05-2018 
88282,0.05,31-05-2018 
62569,3.2,31-05-2018 
73473,nan,28-06-2018 
73628,nan,28-06-2018 
78818,34.6,28-06-2018 
77703,nan,31-05-2018 
54315,9.5,31-05-2018 
78480,nan,28-06-2018 
45866,nan,30-12-2021 
84969,nan,31-05-2018 
71777,nan,31-05-2018 
91639,1.0,31-05-2018 
97906,0.25,28-06-2018 
45321,57.0,27-06-2019 
95750,nan,28-06-2018 
73257,4.35,28-06-2018 
105236,7.55,28-06-2018 
45991,675.0,24-06-2021 
77737,nan,28-06-2018 
71339,nan,31-05-2018 
54728,0.05,31-05-2018 
92676,nan,28-06-2018 
82872,nan,28-06-2018 
37645,10.7,31-05-2018 
50452,2219.85,31-05-2018 
35178,469.65,27-06-2019 
81169,nan,31-05-2018 
66323,20.0,31-05-2018 
62644,0.25,31-05-2018 
62646,0.4,31-05-2018 
99113,nan,28-06-2018 
70603,nan,28-06-2018 
90964,17.0,28-06-2018 
96385,nan,28-06-2018 
70939,25.35,31-05-2018 
55050,7.15,31-05-2018 
52217,0.2,31-05-2018 
85150,1.5,31-05-2018 
87524,3.4,31-05-2018 
60352,6.05,31-05-2018 
88652,0.15,31-05-2018 
94955,nan,28-06-2018 
95927,nan,28-06-2018 
90674,nan,28-06-2018 
96262,nan,28-06-2018 
79524,nan,26-07-2018 
70821,95.5,31-05-2018 
63835,21.0,31-05-2018 
64694,0.15,31-05-2018 
64882,227.75,31-05-2018 
79458,nan,31-05-2018 
85309,46.0,31-05-2018 
62794,nan,28-06-2018 
62113,nan,31-05-2018 
86466,nan,28-06-2018 
64453,nan,28-06-2018 
91887,nan,28-06-2018 
51375,nan,31-05-2018 
86942,2.15,31-05-2018 
91081,nan,28-06-2018 
65204,1.75,31-05-2018 
50367,4022.05,31-05-2018 
80600,9.65,31-05-2018 
55125,30.1,31-05-2018 
94060,0.4,31-05-2018 
52999,69.3,31-05-2018 
58533,0.25,31-05-2018 
53235,28.9,31-05-2018 
95886,4.2,31-05-2018 
53716,2.8,31-05-2018 
91692,nan,28-06-2018 
47045,177.0,26-12-2019 
94582,4.0,28-06-2018 
105225,3.75,28-06-2018 
79960,nan,28-06-2018 
80923,nan,28-06-2018 
87037,nan,31-05-2018 
97396,nan,28-06-2018 
90642,nan,28-06-2018 
92650,nan,28-06-2018 
92680,nan,28-06-2018 
90522,1.8,31-05-2018 
39068,nan,24-05-2018 
48984,410.9,28-06-2018 
55061,nan,31-05-2018 
91221,246.6,31-05-2018 
46030,nan,26-07-2018 
60827,12.5,31-05-2018 
57749,2.1,28-06-2018 
97747,nan,31-05-2018 
98450,6.0,28-06-2018 
49913,nan,26-07-2018 
100273,73.4,31-05-2018 
96387,nan,28-06-2018 
105244,nan,28-06-2018 
79375,nan,28-06-2018 
50933,nan,30-06-2022 
54843,12.1,31-05-2018 
58216,2.85,31-05-2018 
89647,nan,28-06-2018 
99600,45.45,31-05-2018 
37962,nan,28-06-2018 
91255,1.0,31-05-2018 
91817,22.85,31-05-2018 
52718,120.0,31-05-2018 
60706,nan,31-05-2018 
98496,3.65,31-05-2018 
98853,140.0,28-06-2018 
63034,0.1,31-05-2018 
67168,17.3,31-05-2018 
35676,277.3,31-05-2018 
36921,nan,31-05-2018 
77181,33.0,28-06-2018 
45844,nan,24-06-2021 
74775,1.9,31-05-2018 
97374,nan,28-06-2018 
100377,nan,28-06-2018 
63454,75.1,31-05-2018 
54780,1.0,31-05-2018 
52235,5.3,31-05-2018 
57519,nan,31-05-2018 
58006,nan,28-06-2018 
91329,nan,28-06-2018 
89601,16.0,28-06-2018 
101805,103.0,31-05-2018 
78647,nan,28-06-2018 
96602,1.55,28-06-2018 
71858,nan,28-06-2018 
96709,nan,28-06-2018 
71349,9.85,31-05-2018 
36216,632.0,26-12-2019 
77686,91.2,31-05-2018 
87845,nan,31-05-2018 
58011,1.45,28-06-2018 
63381,0.1,31-05-2018 
70400,nan,28-06-2018 
72079,nan,28-06-2018 
63438,4.3,31-05-2018 
45518,315.5,26-07-2018 
47466,0.45,31-05-2018 
88534,0.1,31-05-2018 
50333,1371.3,31-05-2018 
40167,41.5,24-05-2018 
46180,nan,25-06-2020 
54714,21.9,31-05-2018 
46254,68.5,26-07-2018 
40543,24.6,28-06-2018 
52230,6.15,31-05-2018 
52982,2.5,31-05-2018 
96378,11.15,28-06-2018 
53628,nan,31-05-2018 
97836,nan,28-06-2018 
86939,nan,31-05-2018 
52571,nan,31-05-2018 
70501,0.15,31-05-2018 
48950,114.65,28-06-2018 
63677,21.1,31-05-2018 
64683,8.35,31-05-2018 
57700,0.4,31-05-2018 
85352,nan,31-05-2018 
68230,2.0,31-05-2018 
97959,7.5,31-05-2018 
100215,9.5,26-07-2018 
46296,486.0,25-06-2020 
79778,nan,28-06-2018 
67698,0.6,31-05-2018 
71979,5.65,31-05-2018 
63937,0.15,31-05-2018 
66604,0.5,31-05-2018 
53245,235.0,31-05-2018 
59161,2.7,31-05-2018 
96909,nan,28-06-2018 
66024,10.15,28-06-2018 
91326,nan,28-06-2018 
67169,4.6,31-05-2018 
60586,nan,28-06-2018 
59268,nan,28-06-2018 
96624,nan,28-06-2018 
49443,584.0,28-06-2018 
51843,12.45,31-05-2018 
76383,79.2,31-05-2018 
52939,2.7,31-05-2018 
54355,nan,31-05-2018 
99555,15.0,31-05-2018 
67326,nan,31-05-2018 
76999,nan,28-06-2018 
56115,92.8,31-05-2018 
102808,nan,31-05-2018 
98129,nan,31-05-2018 
37891,0.2,31-05-2018 
49072,74.5,28-06-2018 
35031,94.05,31-05-2018 
45524,62.35,26-07-2018 
51893,16.95,31-05-2018 
67769,13.25,31-05-2018 
60826,15.0,31-05-2018 
97801,nan,28-06-2018 
66019,17.9,28-06-2018 
94094,nan,28-06-2018 
101390,nan,28-06-2018 
90546,nan,28-06-2018 
94820,10.85,28-06-2018 
48269,2.3,31-05-2018 
70758,nan,31-05-2018 
71125,nan,28-06-2018 
92938,nan,28-06-2018 
41668,5.3,28-06-2018 
48548,1069.6,28-06-2018 
51527,128.0,31-05-2018 
68004,29.9,31-05-2018 
69242,1.05,31-05-2018 
58021,nan,28-06-2018 
62655,32.45,31-05-2018 
89889,nan,28-06-2018 
96416,nan,28-06-2018 
76423,nan,31-05-2018 
49952,nan,29-12-2022 
89639,nan,28-06-2018 
90632,nan,28-06-2018 
90822,8.5,28-06-2018 
95366,nan,28-06-2018 
64280,0.1,31-05-2018 
65655,nan,31-05-2018 
58521,17.0,31-05-2018 
68528,0.1,31-05-2018 
87814,nan,31-05-2018 
98587,5.75,28-06-2018 
63025,88.0,31-05-2018 
89283,nan,28-06-2018 
89686,nan,28-06-2018 
46533,54.0,26-12-2019 
48698,737.75,28-06-2018 
92904,nan,28-06-2018 
50636,46.65,31-05-2018 
72665,16.0,31-05-2018 
