SCRIP_CODE,KEY
45139,ACC_26-Jul-2018_-0.01_XX
43185,ACC_26-Jul-2018_1000.0_CE
43187,ACC_26-Jul-2018_1000.0_PE
41921,ACC_26-Jul-2018_1020.0_CE
41922,ACC_26-Jul-2018_1020.0_PE
41923,ACC_26-Jul-2018_1040.0_CE
41924,ACC_26-Jul-2018_1040.0_PE
41139,ACC_26-Jul-2018_1060.0_CE
41141,ACC_26-Jul-2018_1060.0_PE
41142,ACC_26-Jul-2018_1080.0_CE
41145,ACC_26-Jul-2018_1080.0_PE
40011,ACC_26-Jul-2018_1100.0_CE
40020,ACC_26-Jul-2018_1100.0_PE
35078,ACC_26-Jul-2018_1120.0_CE
35083,ACC_26-Jul-2018_1120.0_PE
47002,ACC_26-Jul-2018_1140.0_CE
47003,ACC_26-Jul-2018_1140.0_PE
47004,ACC_26-Jul-2018_1160.0_CE
47005,ACC_26-Jul-2018_1160.0_PE
47006,ACC_26-Jul-2018_1180.0_CE
47007,ACC_26-Jul-2018_1180.0_PE
47008,ACC_26-Jul-2018_1200.0_CE
47010,ACC_26-Jul-2018_1200.0_PE
47011,ACC_26-Jul-2018_1220.0_CE
47016,ACC_26-Jul-2018_1220.0_PE
47017,ACC_26-Jul-2018_1240.0_CE
47018,ACC_26-Jul-2018_1240.0_PE
47019,ACC_26-Jul-2018_1260.0_CE
47020,ACC_26-Jul-2018_1260.0_PE
47021,ACC_26-Jul-2018_1280.0_CE
47022,ACC_26-Jul-2018_1280.0_PE
47023,ACC_26-Jul-2018_1300.0_CE
47024,ACC_26-Jul-2018_1300.0_PE
47025,ACC_26-Jul-2018_1320.0_CE
47026,ACC_26-Jul-2018_1320.0_PE
47027,ACC_26-Jul-2018_1340.0_CE
47028,ACC_26-Jul-2018_1340.0_PE
47029,ACC_26-Jul-2018_1360.0_CE
47030,ACC_26-Jul-2018_1360.0_PE
47031,ACC_26-Jul-2018_1380.0_CE
47032,ACC_26-Jul-2018_1380.0_PE
47033,ACC_26-Jul-2018_1400.0_CE
47034,ACC_26-Jul-2018_1400.0_PE
47035,ACC_26-Jul-2018_1420.0_CE
47036,ACC_26-Jul-2018_1420.0_PE
47037,ACC_26-Jul-2018_1440.0_CE
47038,ACC_26-Jul-2018_1440.0_PE
47039,ACC_26-Jul-2018_1460.0_CE
47041,ACC_26-Jul-2018_1460.0_PE
47043,ACC_26-Jul-2018_1480.0_CE
47044,ACC_26-Jul-2018_1480.0_PE
47051,ACC_26-Jul-2018_1500.0_CE
47053,ACC_26-Jul-2018_1500.0_PE
47054,ACC_26-Jul-2018_1520.0_CE
47060,ACC_26-Jul-2018_1520.0_PE
47062,ACC_26-Jul-2018_1540.0_CE
47070,ACC_26-Jul-2018_1540.0_PE
47071,ACC_26-Jul-2018_1560.0_CE
47072,ACC_26-Jul-2018_1560.0_PE
47073,ACC_26-Jul-2018_1580.0_CE
47074,ACC_26-Jul-2018_1580.0_PE
47077,ACC_26-Jul-2018_1600.0_CE
47080,ACC_26-Jul-2018_1600.0_PE
47086,ACC_26-Jul-2018_1620.0_CE
47089,ACC_26-Jul-2018_1620.0_PE
47094,ACC_26-Jul-2018_1640.0_CE
47095,ACC_26-Jul-2018_1640.0_PE
47096,ACC_26-Jul-2018_1660.0_CE
47099,ACC_26-Jul-2018_1660.0_PE
47100,ACC_26-Jul-2018_1680.0_CE
47106,ACC_26-Jul-2018_1680.0_PE
47107,ACC_26-Jul-2018_1700.0_CE
47108,ACC_26-Jul-2018_1700.0_PE
47109,ACC_26-Jul-2018_1720.0_CE
47112,ACC_26-Jul-2018_1720.0_PE
47113,ACC_26-Jul-2018_1740.0_CE
47114,ACC_26-Jul-2018_1740.0_PE
47115,ACC_26-Jul-2018_1760.0_CE
47116,ACC_26-Jul-2018_1760.0_PE
47117,ACC_26-Jul-2018_1780.0_CE
47121,ACC_26-Jul-2018_1780.0_PE
47122,ACC_26-Jul-2018_1800.0_CE
47124,ACC_26-Jul-2018_1800.0_PE
47125,ACC_26-Jul-2018_1820.0_CE
47126,ACC_26-Jul-2018_1820.0_PE
47127,ACC_26-Jul-2018_1840.0_CE
47129,ACC_26-Jul-2018_1840.0_PE
47130,ACC_26-Jul-2018_1860.0_CE
47131,ACC_26-Jul-2018_1860.0_PE
47132,ACC_26-Jul-2018_1880.0_CE
47134,ACC_26-Jul-2018_1880.0_PE
47135,ACC_26-Jul-2018_1900.0_CE
47141,ACC_26-Jul-2018_1900.0_PE
47142,ACC_26-Jul-2018_1920.0_CE
47143,ACC_26-Jul-2018_1920.0_PE
47144,ACC_26-Jul-2018_1940.0_CE
47145,ACC_26-Jul-2018_1940.0_PE
35275,ACC_26-Jul-2018_1960.0_CE
35276,ACC_26-Jul-2018_1960.0_PE
36463,ACC_26-Jul-2018_1980.0_CE
36469,ACC_26-Jul-2018_1980.0_PE
48379,ACC_28-Jun-2018_-0.01_XX
43157,ACC_28-Jun-2018_1000.0_CE
43184,ACC_28-Jun-2018_1000.0_PE
41913,ACC_28-Jun-2018_1020.0_CE
41914,ACC_28-Jun-2018_1020.0_PE
41916,ACC_28-Jun-2018_1040.0_CE
41917,ACC_28-Jun-2018_1040.0_PE
41124,ACC_28-Jun-2018_1060.0_CE
41125,ACC_28-Jun-2018_1060.0_PE
41133,ACC_28-Jun-2018_1080.0_CE
41134,ACC_28-Jun-2018_1080.0_PE
57303,ACC_28-Jun-2018_1100.0_CE
57304,ACC_28-Jun-2018_1100.0_PE
57305,ACC_28-Jun-2018_1120.0_CE
57306,ACC_28-Jun-2018_1120.0_PE
57307,ACC_28-Jun-2018_1140.0_CE
57308,ACC_28-Jun-2018_1140.0_PE
57309,ACC_28-Jun-2018_1160.0_CE
57310,ACC_28-Jun-2018_1160.0_PE
57311,ACC_28-Jun-2018_1180.0_CE
57312,ACC_28-Jun-2018_1180.0_PE
57313,ACC_28-Jun-2018_1200.0_CE
57314,ACC_28-Jun-2018_1200.0_PE
57315,ACC_28-Jun-2018_1220.0_CE
57316,ACC_28-Jun-2018_1220.0_PE
57317,ACC_28-Jun-2018_1240.0_CE
57318,ACC_28-Jun-2018_1240.0_PE
57319,ACC_28-Jun-2018_1260.0_CE
57320,ACC_28-Jun-2018_1260.0_PE
57321,ACC_28-Jun-2018_1280.0_CE
57322,ACC_28-Jun-2018_1280.0_PE
57323,ACC_28-Jun-2018_1300.0_CE
57324,ACC_28-Jun-2018_1300.0_PE
57325,ACC_28-Jun-2018_1320.0_CE
57326,ACC_28-Jun-2018_1320.0_PE
57327,ACC_28-Jun-2018_1340.0_CE
57328,ACC_28-Jun-2018_1340.0_PE
57329,ACC_28-Jun-2018_1360.0_CE
57330,ACC_28-Jun-2018_1360.0_PE
57331,ACC_28-Jun-2018_1380.0_CE
57332,ACC_28-Jun-2018_1380.0_PE
57333,ACC_28-Jun-2018_1400.0_CE
57334,ACC_28-Jun-2018_1400.0_PE
57335,ACC_28-Jun-2018_1420.0_CE
57336,ACC_28-Jun-2018_1420.0_PE
57337,ACC_28-Jun-2018_1440.0_CE
57338,ACC_28-Jun-2018_1440.0_PE
57339,ACC_28-Jun-2018_1460.0_CE
57340,ACC_28-Jun-2018_1460.0_PE
57341,ACC_28-Jun-2018_1480.0_CE
57342,ACC_28-Jun-2018_1480.0_PE
57343,ACC_28-Jun-2018_1500.0_CE
57344,ACC_28-Jun-2018_1500.0_PE
57345,ACC_28-Jun-2018_1520.0_CE
57346,ACC_28-Jun-2018_1520.0_PE
57347,ACC_28-Jun-2018_1540.0_CE
57348,ACC_28-Jun-2018_1540.0_PE
57349,ACC_28-Jun-2018_1560.0_CE
57350,ACC_28-Jun-2018_1560.0_PE
57351,ACC_28-Jun-2018_1580.0_CE
57352,ACC_28-Jun-2018_1580.0_PE
57353,ACC_28-Jun-2018_1600.0_CE
57354,ACC_28-Jun-2018_1600.0_PE
57355,ACC_28-Jun-2018_1620.0_CE
57356,ACC_28-Jun-2018_1620.0_PE
57357,ACC_28-Jun-2018_1640.0_CE
57358,ACC_28-Jun-2018_1640.0_PE
57359,ACC_28-Jun-2018_1660.0_CE
57360,ACC_28-Jun-2018_1660.0_PE
57361,ACC_28-Jun-2018_1680.0_CE
57362,ACC_28-Jun-2018_1680.0_PE
57363,ACC_28-Jun-2018_1700.0_CE
57364,ACC_28-Jun-2018_1700.0_PE
57365,ACC_28-Jun-2018_1720.0_CE
57366,ACC_28-Jun-2018_1720.0_PE
57370,ACC_28-Jun-2018_1740.0_CE
57371,ACC_28-Jun-2018_1740.0_PE
57372,ACC_28-Jun-2018_1760.0_CE
57377,ACC_28-Jun-2018_1760.0_PE
57378,ACC_28-Jun-2018_1780.0_CE
57381,ACC_28-Jun-2018_1780.0_PE
57382,ACC_28-Jun-2018_1800.0_CE
57389,ACC_28-Jun-2018_1800.0_PE
57390,ACC_28-Jun-2018_1820.0_CE
57417,ACC_28-Jun-2018_1820.0_PE
57418,ACC_28-Jun-2018_1840.0_CE
57419,ACC_28-Jun-2018_1840.0_PE
57507,ACC_28-Jun-2018_1860.0_CE
57508,ACC_28-Jun-2018_1860.0_PE
57509,ACC_28-Jun-2018_1880.0_CE
57510,ACC_28-Jun-2018_1880.0_PE
57511,ACC_28-Jun-2018_1900.0_CE
57512,ACC_28-Jun-2018_1900.0_PE
35060,ACC_28-Jun-2018_1920.0_CE
35061,ACC_28-Jun-2018_1920.0_PE
35063,ACC_28-Jun-2018_1940.0_CE
35064,ACC_28-Jun-2018_1940.0_PE
37016,ACC_28-Jun-2018_1960.0_CE
37018,ACC_28-Jun-2018_1960.0_PE
41817,ACC_28-Jun-2018_1980.0_CE
41818,ACC_28-Jun-2018_1980.0_PE
50165,ACC_31-May-2018_-0.01_XX
43145,ACC_31-May-2018_1000.0_CE
43146,ACC_31-May-2018_1000.0_PE
41909,ACC_31-May-2018_1020.0_CE
41910,ACC_31-May-2018_1020.0_PE
41911,ACC_31-May-2018_1040.0_CE
41912,ACC_31-May-2018_1040.0_PE
41118,ACC_31-May-2018_1060.0_CE
41119,ACC_31-May-2018_1060.0_PE
41120,ACC_31-May-2018_1080.0_CE
41121,ACC_31-May-2018_1080.0_PE
57300,ACC_31-May-2018_1100.0_CE
57301,ACC_31-May-2018_1100.0_PE
45338,ACC_31-May-2018_1120.0_CE
45339,ACC_31-May-2018_1120.0_PE
42621,ACC_31-May-2018_1140.0_CE
42622,ACC_31-May-2018_1140.0_PE
42623,ACC_31-May-2018_1160.0_CE
42626,ACC_31-May-2018_1160.0_PE
40994,ACC_31-May-2018_1180.0_CE
40995,ACC_31-May-2018_1180.0_PE
38831,ACC_31-May-2018_1200.0_CE
38832,ACC_31-May-2018_1200.0_PE
37853,ACC_31-May-2018_1220.0_CE
37854,ACC_31-May-2018_1220.0_PE
51164,ACC_31-May-2018_1240.0_CE
51165,ACC_31-May-2018_1240.0_PE
51169,ACC_31-May-2018_1260.0_CE
51170,ACC_31-May-2018_1260.0_PE
51171,ACC_31-May-2018_1280.0_CE
51172,ACC_31-May-2018_1280.0_PE
51173,ACC_31-May-2018_1300.0_CE
51174,ACC_31-May-2018_1300.0_PE
51175,ACC_31-May-2018_1320.0_CE
51176,ACC_31-May-2018_1320.0_PE
51177,ACC_31-May-2018_1340.0_CE
51178,ACC_31-May-2018_1340.0_PE
51179,ACC_31-May-2018_1360.0_CE
51180,ACC_31-May-2018_1360.0_PE
51181,ACC_31-May-2018_1380.0_CE
51182,ACC_31-May-2018_1380.0_PE
51183,ACC_31-May-2018_1400.0_CE
51184,ACC_31-May-2018_1400.0_PE
51185,ACC_31-May-2018_1420.0_CE
51186,ACC_31-May-2018_1420.0_PE
51187,ACC_31-May-2018_1440.0_CE
51188,ACC_31-May-2018_1440.0_PE
51189,ACC_31-May-2018_1460.0_CE
51190,ACC_31-May-2018_1460.0_PE
51191,ACC_31-May-2018_1480.0_CE
51192,ACC_31-May-2018_1480.0_PE
51193,ACC_31-May-2018_1500.0_CE
51194,ACC_31-May-2018_1500.0_PE
51195,ACC_31-May-2018_1520.0_CE
51196,ACC_31-May-2018_1520.0_PE
51197,ACC_31-May-2018_1540.0_CE
51198,ACC_31-May-2018_1540.0_PE
51199,ACC_31-May-2018_1560.0_CE
51200,ACC_31-May-2018_1560.0_PE
51201,ACC_31-May-2018_1580.0_CE
51202,ACC_31-May-2018_1580.0_PE
51203,ACC_31-May-2018_1600.0_CE
51204,ACC_31-May-2018_1600.0_PE
51205,ACC_31-May-2018_1620.0_CE
51206,ACC_31-May-2018_1620.0_PE
