,KEY,OI1,CLOSE1,EXPIRY_DT,SCRIP_CODE,TOTAL_VAL
161,FTSE100_18-May-2018_6200.0_CE,0.0,917.5,18-May-2018,44627.0,0.0
162,FTSE100_18-May-2018_6200.0_PE,0.0,2.9,18-May-2018,44628.0,0.0
163,FTSE100_18-May-2018_6300.0_CE,0.0,875.85,18-May-2018,38791.0,0.0
164,FTSE100_18-May-2018_6300.0_PE,0.0,14.05,18-May-2018,38796.0,0.0
165,FTSE100_18-May-2018_6400.0_CE,0.0,964.7,18-May-2018,41221.0,0.0
166,FTSE100_18-May-2018_6400.0_PE,0.0,18.2,18-May-2018,41222.0,0.0
167,FTSE100_18-May-2018_6500.0_CE,0.0,874.75,18-May-2018,41223.0,0.0
168,FTSE100_18-May-2018_6500.0_PE,0.0,26.5,18-May-2018,41238.0,0.0
169,FTSE100_18-May-2018_6600.0_CE,0.0,787.65,18-May-2018,41239.0,0.0
170,FTSE100_18-May-2018_6600.0_PE,0.0,37.65,18-May-2018,41240.0,0.0
171,FTSE100_18-May-2018_6700.0_CE,0.0,703.85,18-May-2018,41241.0,0.0
172,FTSE100_18-May-2018_6700.0_PE,0.0,52.15,18-May-2018,41243.0,0.0
173,FTSE100_18-May-2018_6800.0_CE,0.0,624.05,18-May-2018,41245.0,0.0
174,FTSE100_18-May-2018_6800.0_PE,0.0,70.55,18-May-2018,41248.0,0.0
175,FTSE100_18-May-2018_6900.0_CE,0.0,548.9,18-May-2018,41269.0,0.0
176,FTSE100_18-May-2018_6900.0_PE,0.0,93.7,18-May-2018,41270.0,0.0
177,FTSE100_18-May-2018_7000.0_CE,0.0,478.1,18-May-2018,41273.0,0.0
178,FTSE100_18-May-2018_7000.0_PE,0.0,121.1,18-May-2018,41274.0,0.0
179,FTSE100_18-May-2018_7100.0_CE,0.0,412.95,18-May-2018,41296.0,0.0
180,FTSE100_18-May-2018_7100.0_PE,0.0,154.25,18-May-2018,41297.0,0.0
181,FTSE100_18-May-2018_7200.0_CE,0.0,353.4,18-May-2018,41304.0,0.0
182,FTSE100_18-May-2018_7200.0_PE,0.0,192.95,18-May-2018,41305.0,0.0
183,FTSE100_18-May-2018_7300.0_CE,0.0,299.55,18-May-2018,41307.0,0.0
184,FTSE100_18-May-2018_7300.0_PE,0.0,237.35,18-May-2018,41308.0,0.0
185,FTSE100_18-May-2018_7400.0_CE,0.0,251.45,18-May-2018,41326.0,0.0
186,FTSE100_18-May-2018_7400.0_PE,0.0,287.5,18-May-2018,41329.0,0.0
187,FTSE100_18-May-2018_7500.0_CE,0.0,209.05,18-May-2018,41332.0,0.0
188,FTSE100_18-May-2018_7500.0_PE,0.0,343.35,18-May-2018,41333.0,0.0
189,FTSE100_18-May-2018_7600.0_CE,0.0,172.05,18-May-2018,41343.0,0.0
190,FTSE100_18-May-2018_7600.0_PE,0.0,404.65,18-May-2018,41345.0,0.0
191,FTSE100_18-May-2018_7700.0_CE,0.0,140.25,18-May-2018,41347.0,0.0
192,FTSE100_18-May-2018_7700.0_PE,0.0,471.05,18-May-2018,41348.0,0.0
193,FTSE100_18-May-2018_7800.0_CE,0.0,113.5,18-May-2018,41350.0,0.0
194,FTSE100_18-May-2018_7800.0_PE,0.0,542.55,18-May-2018,41353.0,0.0
195,FTSE100_18-May-2018_7900.0_CE,0.0,90.55,18-May-2018,41368.0,0.0
196,FTSE100_18-May-2018_7900.0_PE,0.0,617.9,18-May-2018,41369.0,0.0
197,FTSE100_18-May-2018_8000.0_CE,0.0,71.7,18-May-2018,41376.0,0.0
198,FTSE100_18-May-2018_8000.0_PE,0.0,697.25,18-May-2018,41377.0,0.0
199,FTSE100_18-May-2018_8100.0_CE,0.0,63.8,18-May-2018,36826.0,0.0
200,FTSE100_18-May-2018_8100.0_PE,0.0,729.3,18-May-2018,36827.0,0.0
201,FTSE100_18-May-2018_8200.0_CE,0.0,0.6,18-May-2018,35030.0,0.0
202,FTSE100_18-May-2018_8200.0_PE,0.0,796.05,18-May-2018,39896.0,0.0
203,FTSE100_18-May-2018_8300.0_CE,0.0,0.1,18-May-2018,36405.0,0.0
204,FTSE100_18-May-2018_8300.0_PE,0.0,772.65,18-May-2018,36413.0,0.0
205,FTSE100_18-May-2018_8400.0_CE,0.0,0.05,18-May-2018,39169.0,0.0
206,FTSE100_18-May-2018_8400.0_PE,0.0,816.3,18-May-2018,39170.0,0.0
207,FTSE100_18-May-2018_8500.0_CE,0.0,0.05,18-May-2018,40390.0,0.0
208,FTSE100_18-May-2018_8500.0_PE,0.0,825.15,18-May-2018,40391.0,0.0
209,FTSE100_18-May-2018_6100.0_CE,0.0,887.25,18-May-2018,46609.0,0.0
210,FTSE100_18-May-2018_6100.0_PE,0.0,1.65,18-May-2018,46610.0,0.0
212,NIFTYCPSE_24-May-2018_2300.0_PE,0.0,36.7,24-May-2018,45438.0,0.0
213,NIFTYCPSE_24-May-2018_2300.0_CE,0.0,149.9,24-May-2018,45426.0,0.0
214,NIFTYCPSE_24-May-2018_2325.0_PE,0.0,44.75,24-May-2018,45440.0,0.0
215,NIFTYCPSE_24-May-2018_2350.0_CE,0.0,117.75,24-May-2018,45441.0,0.0
216,NIFTYCPSE_24-May-2018_2350.0_PE,0.0,53.95,24-May-2018,45455.0,0.0
217,NIFTYCPSE_24-May-2018_2375.0_CE,0.0,103.4,24-May-2018,45456.0,0.0
218,NIFTYCPSE_24-May-2018_2375.0_PE,0.0,64.25,24-May-2018,45478.0,0.0
219,NIFTYCPSE_24-May-2018_2400.0_CE,0.0,90.2,24-May-2018,45479.0,0.0
220,NIFTYCPSE_24-May-2018_2400.0_PE,0.0,75.75,24-May-2018,45490.0,0.0
221,NIFTYCPSE_24-May-2018_2425.0_CE,0.0,78.2,24-May-2018,45491.0,0.0
222,NIFTYCPSE_24-May-2018_2425.0_PE,0.0,88.45,24-May-2018,45503.0,0.0
223,NIFTYCPSE_24-May-2018_2450.0_CE,0.0,67.3,24-May-2018,45504.0,0.0
224,NIFTYCPSE_24-May-2018_2450.0_PE,0.0,102.25,24-May-2018,45505.0,0.0
225,NIFTYCPSE_24-May-2018_2475.0_CE,0.0,57.6,24-May-2018,45508.0,0.0
226,NIFTYCPSE_24-May-2018_2475.0_PE,0.0,117.25,24-May-2018,45509.0,0.0
227,NIFTYCPSE_24-May-2018_2500.0_CE,0.0,48.95,24-May-2018,45510.0,0.0
228,NIFTYCPSE_24-May-2018_2500.0_PE,0.0,133.25,24-May-2018,45513.0,0.0
229,NIFTYCPSE_24-May-2018_2525.0_CE,0.0,41.3,24-May-2018,45514.0,0.0
230,NIFTYCPSE_24-May-2018_2525.0_PE,0.0,150.35,24-May-2018,45515.0,0.0
231,NIFTYCPSE_24-May-2018_2550.0_CE,0.0,34.7,24-May-2018,46958.0,0.0
232,NIFTYCPSE_24-May-2018_2550.0_PE,0.0,148.8,24-May-2018,46962.0,0.0
233,NIFTYCPSE_24-May-2018_2575.0_CE,0.0,27.4,24-May-2018,54091.0,0.0
234,NIFTYCPSE_24-May-2018_2575.0_PE,0.0,155.1,24-May-2018,54093.0,0.0
235,NIFTYCPSE_24-May-2018_2600.0_CE,0.0,18.35,24-May-2018,40184.0,0.0
236,NIFTYCPSE_24-May-2018_2600.0_PE,0.0,147.5,24-May-2018,40185.0,0.0
237,NIFTYCPSE_24-May-2018_2225.0_CE,0.0,206.05,24-May-2018,45418.0,0.0
