,KEY,EXPIRY_DT,SCRIP_CODE,OI4,CLOSE4,NET_CHG_IN_VAL4,AVG_PRICE4,OI5,CLOSE5,CHG_IN_OI5,NET_CHG_IN_VAL5,NEW_NET_VAL5,AVG_PRICE5
0,FTSE100_18-May-2018_6200.0_CE,18-May-2018,44627.0,0.0,917.5,0.0,,0.0,917.5,0.0,0.0,0.0,
1,FTSE100_18-May-2018_6200.0_PE,18-May-2018,44628.0,0.0,2.9,0.0,,0.0,2.9,0.0,0.0,0.0,
2,FTSE100_18-May-2018_6300.0_CE,18-May-2018,38791.0,0.0,875.85,0.0,,0.0,875.85,0.0,0.0,0.0,
3,FTSE100_18-May-2018_6300.0_PE,18-May-2018,38796.0,0.0,14.05,0.0,,0.0,14.05,0.0,0.0,0.0,
4,FTSE100_18-May-2018_6400.0_CE,18-May-2018,41221.0,0.0,964.7,0.0,,0.0,964.7,0.0,0.0,0.0,
5,FTSE100_18-May-2018_6400.0_PE,18-May-2018,41222.0,0.0,18.2,0.0,,0.0,18.2,0.0,0.0,0.0,
6,FTSE100_18-May-2018_6500.0_CE,18-May-2018,41223.0,0.0,874.75,0.0,,0.0,874.75,0.0,0.0,0.0,
7,FTSE100_18-May-2018_6500.0_PE,18-May-2018,41238.0,0.0,26.5,0.0,,0.0,26.5,0.0,0.0,0.0,
8,FTSE100_18-May-2018_6600.0_CE,18-May-2018,41239.0,0.0,787.65,0.0,,0.0,787.65,0.0,0.0,0.0,
9,FTSE100_18-May-2018_6600.0_PE,18-May-2018,41240.0,0.0,37.65,0.0,,0.0,37.65,0.0,0.0,0.0,
10,FTSE100_18-May-2018_6700.0_CE,18-May-2018,41241.0,0.0,703.85,0.0,,0.0,703.85,0.0,0.0,0.0,
11,FTSE100_18-May-2018_6700.0_PE,18-May-2018,41243.0,0.0,52.15,0.0,,0.0,52.15,0.0,0.0,0.0,
12,FTSE100_18-May-2018_6800.0_CE,18-May-2018,41245.0,0.0,624.05,0.0,,0.0,624.05,0.0,0.0,0.0,
13,FTSE100_18-May-2018_6800.0_PE,18-May-2018,41248.0,0.0,70.55,0.0,,0.0,70.55,0.0,0.0,0.0,
14,FTSE100_18-May-2018_6900.0_CE,18-May-2018,41269.0,0.0,548.9,0.0,,0.0,548.9,0.0,0.0,0.0,
15,FTSE100_18-May-2018_6900.0_PE,18-May-2018,41270.0,0.0,93.7,0.0,,0.0,93.7,0.0,0.0,0.0,
16,FTSE100_18-May-2018_7000.0_CE,18-May-2018,41273.0,0.0,478.1,0.0,,0.0,478.1,0.0,0.0,0.0,
17,FTSE100_18-May-2018_7000.0_PE,18-May-2018,41274.0,0.0,121.1,0.0,,0.0,121.1,0.0,0.0,0.0,
18,FTSE100_18-May-2018_7100.0_CE,18-May-2018,41296.0,0.0,412.95,0.0,,0.0,412.95,0.0,0.0,0.0,
